marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_product	review_headline	review_body	review_date	sentiment
US	6N5fBxpXnuKDFY	F7QfKOC8InOKidSc	UQROSK2pd1	2259268937	Microwave Model nrH4m	Blender	5	97	24	N	Y	Terrible Toaster	This is a mediocre Refrigerator. I would not recommend it.	2017-11-18	negative
CA	dKFhtYx87FK9P5	0JtnGxgLwCKvmKZA	jX455RbIsF	2894772962	Blender Model iTSz8	Refrigerator	4	49	43	N	N	Average Blender	This is a poor Air Conditioner. I would recommend it.	2017-11-28	positive
CA	wQwoEGt0pDd2cz	Q7kUCFEGXmTpdQ1g	Tw3EkK3Ctv	2478037868	Refrigerator Model ZizGp	Refrigerator	1	20	32	Y	Y	Average Toaster	This is a excellent Blender. I would recommend it.	2011-01-03	neutral
US	UkgCyTscxL7vqn	kgwmXpv3DtK33x3P	sCeLleOnsb	4041496212	Microwave Model GULlH	Refrigerator	4	13	10	N	N	Great Microwave	This is a fantastic Toaster. I would recommend it.	2020-04-21	positive
DE	dtcwEA51Tq05DO	BfYmrNQdRjb5wzlT	z5bban0MMr	7350052823	Blender Model G7Z6w	Microwave	4	53	36	N	N	Average Refrigerator	This is a excellent Blender. I would not recommend it.	2021-02-23	neutral
DE	eFCnxF1xXrPrQ3	TnogIIvVmJWGGHrT	cOzjHAtZ1s	3630934640	Refrigerator Model IkRVG	Toaster	1	64	78	N	N	Not good Refrigerator	This is a mediocre Microwave. I would not recommend it.	2016-05-23	positive
UK	4M5CubVkIyrrkS	bRmxTbNqUnccpsJl	g8SjJG4ql3	5340373673	Refrigerator Model xzXkT	Toaster	1	50	27	Y	N	Average Refrigerator	This is a mediocre Toaster. I would not recommend it.	2020-07-05	positive
CA	xDt2eIeQdlM1RM	ki5jvBmuJe91OPZu	lLSjfYBXY2	2502444366	Air Conditioner Model Fkm5y	Air Conditioner	1	31	1	N	Y	Terrible Toaster	This is a unsatisfactory Refrigerator. I would not recommend it.	2016-04-24	negative
FR	6DBMbEloWTaZEc	3Js1XSActDwfb4s9	i52RUv1FO1	8517352992	Microwave Model wKgTa	Air Conditioner	2	62	8	Y	Y	Not good Refrigerator	This is a unsatisfactory Microwave. I would not recommend it.	2013-02-27	negative
UK	kOmWf7UH2haCuG	iYAlyV6VP8TK0ylF	9aAWUByp9s	3596299323	Refrigerator Model hUGZO	Microwave	2	17	34	N	N	Great Microwave	This is a unsatisfactory Blender. I would recommend it.	2021-01-01	negative
UK	XplIqLTlJWRTee	mLx7izXsfskI2Qi6	IGuDL1n5I5	2873124232	Refrigerator Model u3Wez	Microwave	5	95	95	Y	Y	Terrible Air Conditioner	This is a poor Microwave. I would not recommend it.	2017-10-09	negative
CA	9YUMhIprC8RaYW	Vb2TDwZ98MoOLHMg	7u3QmIA1fl	7443557411	Air Conditioner Model SmzQQ	Refrigerator	4	92	44	N	N	Excellent Refrigerator	This is a fantastic Air Conditioner. I would not recommend it.	2015-09-05	neutral
UK	0HAkuoEUfaEH2H	LHbrfKFuAp7qdQri	kFe1lrHd5Z	4045309410	Toaster Model VmPe5	Microwave	1	45	6	Y	N	Excellent Toaster	This is a fantastic Microwave. I would not recommend it.	2015-11-14	positive
UK	KQ6jAZ0hiZA9Rj	2vHUjy3XHL8FXTKa	7q7sqaHWYq	7384156293	Toaster Model JFzZ2	Air Conditioner	5	5	63	Y	Y	Terrible Air Conditioner	This is a poor Microwave. I would not recommend it.	2017-09-12	neutral
UK	DjFVVEyBuzS0ue	d2wFytUVSqhMFnJw	G9tnOVpMeX	4612291435	Air Conditioner Model bJja3	Microwave	4	91	37	Y	Y	Excellent Microwave	This is a fantastic Blender. I would recommend it.	2018-08-07	neutral
UK	pKSJXVGmmLvl9S	qWVXAQvgHo3RobsO	L2vFNJvR2c	2626838161	Air Conditioner Model pAmvT	Refrigerator	2	65	59	N	N	Average Blender	This is a unsatisfactory Air Conditioner. I would recommend it.	2016-05-01	negative
UK	Nj8oHAOG560WS1	V6z3ayEKCjULCZxf	KfafMDv7SV	1274781885	Refrigerator Model sz1n0	Air Conditioner	3	50	46	Y	Y	Average Toaster	This is a unsatisfactory Air Conditioner. I would not recommend it.	2015-02-06	negative
US	fm5txWzomTjv8D	4FsEBrsH4Hml7AkM	0ZGCFPuPrY	7882700121	Microwave Model lfqFY	Microwave	1	1	66	N	N	Not good Toaster	This is a excellent Microwave. I would not recommend it.	2011-09-08	neutral
UK	E8OESb3b3OirXM	Q7Ub6qSJekH2bsjk	qB31HROYJE	8486857644	Microwave Model 7zz1B	Air Conditioner	3	82	23	N	Y	Terrible Microwave	This is a mediocre Toaster. I would recommend it.	2016-03-19	neutral
US	YG1IKVlZUPVxlb	t6rvVOj7B3rxIIBC	BhYFNj0QXt	1361567359	Air Conditioner Model BDwUI	Blender	1	32	88	Y	N	Average Blender	This is a mediocre Air Conditioner. I would not recommend it.	2015-06-26	negative
FR	rf9440lpcj5C9E	zsFoJmwwg9RlO96S	wsZMp91V5U	4682889977	Air Conditioner Model ziRpI	Blender	3	14	71	Y	Y	Great Toaster	This is a mediocre Air Conditioner. I would recommend it.	2017-01-05	neutral
FR	iPv9IPuGCFOAGR	e89LX9pIQzorPYGl	TycU2bCaNm	6234568284	Air Conditioner Model avi8F	Blender	3	5	9	Y	Y	Excellent Microwave	This is a poor Blender. I would recommend it.	2012-01-04	positive
DE	d1pIoeKXzn330x	qOeyuSDGqo9jD2Ra	QPHzLEOSCu	2572567108	Refrigerator Model UHvlC	Toaster	3	4	83	N	N	Average Air Conditioner	This is a excellent Blender. I would recommend it.	2020-11-30	negative
DE	Dm5ch0TXxDyqov	lDXoGL2C0BeqZRkh	JvURkHIixp	9175740958	Air Conditioner Model 3FHvT	Refrigerator	3	32	69	Y	N	Terrible Toaster	This is a poor Refrigerator. I would not recommend it.	2020-10-26	positive
CA	RBSZIp5mTmybDa	ozcfr0yHGWgrUaHa	07WGmMexcr	5357582969	Air Conditioner Model WkQch	Toaster	2	24	59	N	N	Great Air Conditioner	This is a excellent Toaster. I would recommend it.	2012-03-20	positive
FR	xwbf009RVU3Him	DLYHKydt6Cr8p1d9	keCtsAvfZC	7407891579	Refrigerator Model sqRzH	Microwave	4	6	40	Y	Y	Great Toaster	This is a mediocre Microwave. I would recommend it.	2015-05-14	positive
CA	zcJy9MyXTYLjiL	v9SFLN8x8FFGHRmO	ZYA6XVZaJR	7194966658	Refrigerator Model eIgaD	Blender	2	32	65	N	Y	Average Refrigerator	This is a mediocre Toaster. I would recommend it.	2014-07-20	positive
CA	L2mKHaCIhI55p6	31rUTuR78Mzfb0Fd	vMIDuV1Um9	6710116373	Blender Model 43OSN	Toaster	3	94	44	Y	Y	Terrible Microwave	This is a mediocre Air Conditioner. I would not recommend it.	2016-08-04	positive
US	pA3fPxTuyuBKYv	pN6VqKrzRv3U2wxs	UttrY5pQNn	8637605500	Air Conditioner Model Oni01	Microwave	1	38	12	Y	Y	Excellent Blender	This is a unsatisfactory Toaster. I would recommend it.	2022-01-05	neutral
FR	HNNBHI1PFwKXVp	9jtGFXjMEdjn2gwn	JVMN6qEnjg	5809614615	Blender Model 9g4Ua	Air Conditioner	5	2	99	N	N	Not good Refrigerator	This is a fantastic Microwave. I would not recommend it.	2012-04-15	neutral
CA	UivkIh7VO2TPCU	RCle2gTV8x6w8T8t	bAFIvbvBDF	4000524892	Refrigerator Model akvYl	Microwave	2	97	70	N	Y	Excellent Toaster	This is a poor Blender. I would not recommend it.	2014-12-06	negative
DE	RuV8pEPBTApAbs	P5vNsDnZCgpBowwh	q0N4j6IMRF	2096567239	Refrigerator Model bhSN2	Toaster	5	48	28	Y	N	Terrible Microwave	This is a poor Refrigerator. I would recommend it.	2021-08-21	positive
US	j59zrBvskjcRDM	9FzqNVJktHt2FmSE	ClP5SFNxNj	6398875219	Toaster Model Lb1Nt	Refrigerator	2	0	81	N	Y	Terrible Toaster	This is a fantastic Refrigerator. I would not recommend it.	2022-05-26	positive
UK	vMmHuX11sz7Wue	jxz6HCc8NTH2AC4z	ThqRDWVk4Q	2154258662	Microwave Model 8kej5	Microwave	4	32	22	Y	Y	Great Microwave	This is a mediocre Toaster. I would recommend it.	2014-07-27	negative
US	2FlbZ9uLYolyhq	Sy1Ox6EEDXa74XFh	iglBdlpWBj	7013767476	Refrigerator Model G4uvt	Air Conditioner	1	15	10	N	Y	Not good Air Conditioner	This is a unsatisfactory Microwave. I would recommend it.	2022-04-13	positive
UK	3paQ7AzgPCBe2s	gw9zoTpf3BxPC4cN	xYgREPpz4r	2373795139	Air Conditioner Model pSSDs	Microwave	1	6	1	Y	N	Terrible Air Conditioner	This is a unsatisfactory Toaster. I would not recommend it.	2014-04-30	negative
US	N7MXMNtJVj8jR3	VcG9NLSW6NEiphSU	07ZLrcxfOe	3014829596	Microwave Model AC7MG	Microwave	1	80	89	N	Y	Great Microwave	This is a excellent Microwave. I would recommend it.	2023-12-30	negative
CA	5cw49BJQCwMmcA	cZcaGWEDSZu2NUjl	xqNyLlOBsS	6672262425	Refrigerator Model uvnvN	Toaster	3	14	78	N	N	Average Microwave	This is a poor Refrigerator. I would recommend it.	2022-05-11	positive
CA	XqkDiDzFzgepgE	f6Lve1GQzoDlVnKc	e8ozZsE7RM	5231312969	Toaster Model WMzvk	Air Conditioner	1	92	93	N	N	Average Air Conditioner	This is a excellent Blender. I would recommend it.	2021-01-24	neutral
DE	6ohT2qKb9ZMLqS	1j0gjj30lfSQz2Vs	gKTexEp8fQ	6351605827	Blender Model 2jJfI	Microwave	5	14	83	Y	Y	Average Refrigerator	This is a fantastic Blender. I would not recommend it.	2022-04-18	negative
DE	3k5yT618qrGZsz	o6Tjfq3y5hxlwN7z	okMf7entDB	6738632697	Microwave Model Kq2qV	Air Conditioner	2	79	0	Y	Y	Average Air Conditioner	This is a mediocre Refrigerator. I would recommend it.	2011-09-19	neutral
CA	6ieHkx6Ua3R7DG	iJbyTPVrnl8IBvQA	APUJiFgX4n	2581400837	Refrigerator Model nFoxx	Blender	5	42	37	N	Y	Great Refrigerator	This is a unsatisfactory Toaster. I would not recommend it.	2014-12-28	negative
CA	r56gEYZljCYWXR	42RWBjoLKxH76gGF	0j5wdxzWiU	3586129734	Toaster Model aDDRz	Blender	1	14	8	N	Y	Excellent Microwave	This is a fantastic Refrigerator. I would not recommend it.	2018-10-29	positive
FR	u729NXMPAjhxyr	C4WhkDgzlyqXuc6H	aqNsvjwVmI	5358052667	Blender Model XQUoT	Blender	5	87	14	N	Y	Terrible Toaster	This is a unsatisfactory Toaster. I would recommend it.	2016-03-25	neutral
US	g3iv5xP8DMuWWK	uZyvbOrHDqSDhyT4	eLnlXgTO8c	1506501629	Air Conditioner Model xGWNe	Blender	4	40	52	Y	N	Average Refrigerator	This is a unsatisfactory Blender. I would recommend it.	2018-07-15	negative
FR	LRa2Q175QZLXVm	ViQLvQ2n7rTIsQN8	3eI5Jwsha2	2703289064	Toaster Model 1jXnM	Air Conditioner	4	18	19	Y	N	Excellent Microwave	This is a poor Refrigerator. I would recommend it.	2016-11-13	positive
FR	Mno3TJ5sEMEyLl	b4GS2wx6O34igtrx	8UYmSB24oo	5716187445	Blender Model xgQAB	Toaster	1	45	65	Y	Y	Not good Blender	This is a fantastic Air Conditioner. I would not recommend it.	2017-02-24	neutral
CA	cWcMIIuB9g11UM	o0SJboj0OVQ0uooY	0antxtZLkS	8111912993	Blender Model YfRvd	Microwave	3	89	45	Y	Y	Excellent Microwave	This is a excellent Blender. I would recommend it.	2015-05-13	neutral
DE	Zt2r1mKjsZUVso	gyZ5x38F5t5zBeNK	rwDFrABhU8	9522888206	Refrigerator Model 9byIP	Refrigerator	4	72	35	N	N	Terrible Toaster	This is a poor Air Conditioner. I would not recommend it.	2022-12-19	negative
FR	Q5tBWGKtmCtnoC	vx8VXvS0xXMCKbyP	vFmxmKAavM	8715105561	Refrigerator Model 00K6L	Blender	3	76	46	Y	Y	Not good Refrigerator	This is a fantastic Toaster. I would recommend it.	2021-02-16	neutral
DE	Q65WtM3AbJ23l6	tYWfuDDXeL2QJiTi	umYGn64HmJ	1354403072	Refrigerator Model EcHMi	Air Conditioner	2	47	21	Y	Y	Not good Air Conditioner	This is a unsatisfactory Blender. I would not recommend it.	2018-02-15	negative
UK	EFlwCJ0jLi3P8X	OCyBdbXoeCYMSKES	2Swuks5w7W	8653104313	Refrigerator Model 835l6	Blender	2	55	52	Y	Y	Average Refrigerator	This is a fantastic Toaster. I would not recommend it.	2023-11-29	positive
US	BrlAftBfqI6yrh	JkMBy90NGd28RDgu	UV7zYecXJY	7001419631	Air Conditioner Model dolQP	Air Conditioner	5	99	14	Y	Y	Average Air Conditioner	This is a unsatisfactory Refrigerator. I would not recommend it.	2011-07-11	positive
US	X2SQioIZ9I33Hn	CDqLGyv0ngkkpHH9	l5N2vNQAV8	2230877400	Toaster Model qa0Ip	Refrigerator	4	57	79	Y	N	Terrible Toaster	This is a poor Microwave. I would recommend it.	2011-02-01	negative
CA	Efc5uA0jCT5lsx	I2fb2tX6TS5bc1oM	rBeW2lIB38	2974506558	Blender Model BdGAe	Refrigerator	3	22	54	N	Y	Excellent Refrigerator	This is a unsatisfactory Air Conditioner. I would not recommend it.	2010-10-30	negative
UK	HAD9FBONiAjrI2	bGVRbG5WZdKEe6RX	F7vifHzF9r	4226812381	Refrigerator Model EmHac	Blender	1	35	49	Y	N	Not good Microwave	This is a poor Refrigerator. I would not recommend it.	2014-06-02	neutral
DE	h4kZgbQl7ILtFa	Qxfrln7jugSpaoeO	EQifC5vIQX	3996709269	Toaster Model prssr	Air Conditioner	3	98	53	N	N	Terrible Blender	This is a excellent Microwave. I would not recommend it.	2016-02-06	negative
US	LZrpEmIdp4ePhB	0h22H1EXneAkbg4h	w5As9cRKuG	9254003554	Microwave Model ZiFi5	Toaster	4	96	66	N	N	Terrible Microwave	This is a unsatisfactory Blender. I would not recommend it.	2018-10-10	positive
US	R3dG8xa9D2UNT6	cAtVpabkbNrnuY9J	5I4OneSqvk	4422065021	Microwave Model F5VXR	Refrigerator	4	31	76	N	Y	Not good Blender	This is a fantastic Microwave. I would recommend it.	2011-10-17	neutral
FR	nP4y77bgfvZl3W	upCNHpO2Ub1q6XDJ	MTb9S8Ecqe	1158024820	Toaster Model cSIbD	Toaster	4	43	29	N	Y	Average Air Conditioner	This is a fantastic Toaster. I would not recommend it.	2012-05-11	positive
CA	mPkfSVrJmjofbG	J2ZKR1AgsXSrRxlj	tkuWl16qPP	6461760457	Toaster Model ki15u	Toaster	3	39	74	Y	N	Not good Blender	This is a fantastic Blender. I would not recommend it.	2012-06-11	positive
FR	C3o9w4KrEPR3Xf	jgeqJn3apvethj06	aCPDhD5fQu	2382942074	Blender Model zB4nK	Microwave	1	67	2	Y	Y	Not good Toaster	This is a mediocre Toaster. I would recommend it.	2010-12-07	neutral
FR	o0pEYMUOh1NmoH	RBBva83syX6pX0bo	Mf7v63f0fG	5978162215	Toaster Model jsFqT	Refrigerator	3	32	78	Y	Y	Terrible Toaster	This is a poor Air Conditioner. I would recommend it.	2014-06-13	neutral
US	g3IClw6QRseFEj	UGxbnfhP7sX2fyoV	LzjMUDk2s6	1132891167	Refrigerator Model F4s1e	Refrigerator	2	23	63	N	Y	Terrible Air Conditioner	This is a excellent Air Conditioner. I would recommend it.	2013-03-01	negative
CA	maL3d0UqOkMeC6	97OH4XTlQateed55	rxNQCJjOb7	8729752717	Air Conditioner Model hwRgQ	Air Conditioner	4	36	30	Y	Y	Terrible Microwave	This is a mediocre Toaster. I would recommend it.	2023-03-08	positive
DE	xPAVf7vTvv5971	WZyU5lOUapw8U3tW	vjvYPPh9Op	5721875204	Refrigerator Model zQqvq	Air Conditioner	4	13	76	Y	Y	Terrible Refrigerator	This is a unsatisfactory Blender. I would recommend it.	2023-04-09	positive
CA	NHjWpR3XSuELPN	mf32u8rfEcIEajxl	4w7BnQsGyV	3862707672	Microwave Model Q5kIR	Refrigerator	1	14	11	N	N	Great Blender	This is a poor Toaster. I would recommend it.	2014-09-18	neutral
CA	vl2nFsKKIUkse8	9eKBlwWx2ceuFWGC	1sHFEfLFpR	3221449279	Toaster Model EN35r	Blender	3	9	83	Y	Y	Not good Refrigerator	This is a poor Blender. I would not recommend it.	2015-07-17	neutral
UK	HSzwpCu0opJPYq	U9vaHr4VjxpCXTeS	FBbwJ1aqeT	1700369836	Refrigerator Model l3Nch	Air Conditioner	5	60	19	N	Y	Excellent Blender	This is a excellent Microwave. I would recommend it.	2014-01-08	positive
DE	nE81hUXNuQBUQD	eLIOG8G8ptkgClUI	Tw8ygzzWIN	2477165275	Microwave Model ekfFU	Refrigerator	5	31	41	Y	N	Not good Blender	This is a fantastic Toaster. I would not recommend it.	2018-04-25	neutral
DE	vnAdAMJGCYVSaw	peZpFlzpOJnZQinE	RHT9gCvtHt	5511523323	Microwave Model IjIzF	Toaster	2	39	6	N	N	Average Microwave	This is a poor Refrigerator. I would not recommend it.	2011-07-15	neutral
DE	YBZR8cjaoQLb8h	2scd9yiNW7dHJi0p	5fLSRt4pdv	7759914705	Blender Model i4kdB	Toaster	2	22	85	Y	N	Excellent Toaster	This is a poor Blender. I would not recommend it.	2022-03-03	positive
UK	bRWx8R4Y1J8EHw	XHBH9uCbb8yCYl5H	HKkrk7htZY	7717659336	Air Conditioner Model tBAwP	Microwave	2	19	88	N	N	Great Toaster	This is a poor Refrigerator. I would recommend it.	2011-08-02	negative
DE	NVWrXSsbarD7Cr	SeR4VF24LOFWDM4g	6g3T9ty3sD	9704117735	Blender Model ZWxD1	Toaster	4	25	84	N	N	Excellent Blender	This is a excellent Microwave. I would recommend it.	2020-03-26	positive
FR	GVsbVlOlmn8gzu	ZHl8Wdu4OQOH9SIQ	9CdSWF6nYs	8334436107	Blender Model bmj7t	Blender	4	54	73	N	N	Excellent Air Conditioner	This is a mediocre Refrigerator. I would recommend it.	2018-05-30	neutral
US	guvLoGNtcFkkn5	tHmutJPoXjHnoJz7	Mp9xRXFzL3	6319922576	Microwave Model k0emB	Refrigerator	4	99	81	Y	N	Great Blender	This is a fantastic Refrigerator. I would recommend it.	2012-01-09	neutral
DE	jPmirK1Zgn9TCx	OgX2fqDt9X1ja9NQ	uFT7fneUIP	1833525173	Refrigerator Model Ql8dh	Refrigerator	4	77	44	Y	Y	Average Toaster	This is a unsatisfactory Toaster. I would not recommend it.	2021-02-12	negative
DE	RJXBBCWNNYJDzk	YG2f9WCPuQKVWsGQ	rXHpNVA08n	7639848772	Blender Model isqhI	Air Conditioner	3	78	93	N	Y	Not good Refrigerator	This is a unsatisfactory Refrigerator. I would recommend it.	2014-01-28	positive
US	dishNGmFwJJoiU	jrkHu4hMx2TZ8sUu	c85QzmC1lC	7834719501	Blender Model fnHNU	Blender	5	89	14	Y	N	Average Toaster	This is a unsatisfactory Microwave. I would recommend it.	2023-10-12	positive
FR	MCRWQLpTHC7zL6	izhp0yREYUjbzsO8	Qelsc4qmkm	3159622933	Toaster Model 0X9Fq	Refrigerator	4	83	27	N	N	Terrible Air Conditioner	This is a excellent Air Conditioner. I would not recommend it.	2017-01-20	negative
US	nB6ZPVi2cJw8FA	7FP5hAvFbzvVO4WY	zp3ZdPbQyl	1875456293	Blender Model 24qFk	Toaster	1	42	87	N	N	Excellent Toaster	This is a mediocre Air Conditioner. I would not recommend it.	2022-06-27	neutral
CA	EiBQyoqmC6hJ7n	Feb72nYYQPc8Hjrz	viNAQzelGk	4248811140	Microwave Model aznTQ	Blender	1	38	48	Y	N	Great Blender	This is a mediocre Toaster. I would not recommend it.	2021-10-24	negative
US	roOYUSiVvg0BZ2	FMNdNZKOXx1NLZed	62OhYdqic4	9129741109	Blender Model quGKa	Blender	4	82	93	N	N	Terrible Microwave	This is a excellent Microwave. I would recommend it.	2019-05-23	negative
CA	TqcNyMXfzJ8Aml	cxp4peSZHBprm1au	HLQLyfANYX	2048001659	Air Conditioner Model 4rbc0	Air Conditioner	1	10	98	Y	Y	Excellent Toaster	This is a unsatisfactory Toaster. I would not recommend it.	2014-01-14	positive
CA	5ft4tFsO6DJTX0	j946YfqHif8zPPUK	o3vryAY8ol	2220061104	Toaster Model gmLee	Refrigerator	2	28	53	Y	N	Average Blender	This is a excellent Blender. I would recommend it.	2016-03-18	negative
CA	cbYajIfqj8YY7n	UODM05zvTRjzSIP2	nOKTyekFOV	7359620051	Air Conditioner Model qHkFE	Air Conditioner	2	36	89	N	N	Great Blender	This is a unsatisfactory Air Conditioner. I would recommend it.	2017-07-07	negative
US	e6tUS2rhLKOaJu	3sR0TigFHXDnLcO2	I906i5ZVdP	7163232101	Blender Model a2GpS	Toaster	5	100	84	Y	Y	Great Refrigerator	This is a fantastic Air Conditioner. I would recommend it.	2023-10-04	negative
UK	PFA5WKLwk0HMV3	qYMyzHugw6lBFHnz	lwVvSbPyUc	3552243362	Blender Model TljiZ	Blender	2	36	76	Y	Y	Terrible Toaster	This is a fantastic Toaster. I would recommend it.	2022-08-14	neutral
UK	uGL5cy7XEQLlXi	YjDR2PRAtnmOWXm8	NMN8TWxBkx	5923960769	Blender Model K8vnH	Blender	5	63	97	N	Y	Great Air Conditioner	This is a unsatisfactory Microwave. I would recommend it.	2021-04-17	positive
UK	WyyVpR9owZxekv	k9xUgF9gDXl205RE	18xGqCrvsu	9879544133	Blender Model QeGfC	Blender	3	86	74	Y	N	Great Toaster	This is a excellent Blender. I would recommend it.	2014-11-02	neutral
CA	bb1lm37EMTlrIM	DcKrwj7B5BlD1ER3	bUEwYwHpiI	6715002311	Air Conditioner Model gQXLO	Microwave	4	77	27	Y	N	Not good Air Conditioner	This is a mediocre Refrigerator. I would not recommend it.	2016-06-21	neutral
CA	VLf9W7WyOz6Q2p	UOprIhIb0X8roNHV	N7ZrXWRXSg	3346284776	Air Conditioner Model FLD1j	Toaster	3	17	37	N	N	Great Refrigerator	This is a unsatisfactory Refrigerator. I would recommend it.	2018-03-17	neutral
UK	Ddfn0eNYIffItx	VBYwITwztPilSBel	1SMSnCDt7y	4663122614	Microwave Model 4aYHa	Refrigerator	2	51	39	Y	N	Terrible Refrigerator	This is a mediocre Blender. I would not recommend it.	2011-05-21	neutral
FR	zTmtUXXrNdNtwW	wqzyDkhGEghCwrnR	YHBtv1XeyK	3047946525	Air Conditioner Model NE7Rj	Refrigerator	4	90	43	Y	Y	Average Blender	This is a poor Refrigerator. I would not recommend it.	2021-05-22	positive
DE	ZacRlSYtLoPuJQ	5RPlQ0YshI31CpXq	rJ4WBtBpbl	7702265945	Microwave Model pCZ4v	Toaster	2	14	36	Y	Y	Terrible Blender	This is a mediocre Refrigerator. I would not recommend it.	2011-03-17	positive
US	F3tmCSWRTxCa3Y	M5g58hp6shz0ZUZx	ZOHKkgsi2D	1363743789	Blender Model Jfkt5	Air Conditioner	5	5	73	N	Y	Terrible Toaster	This is a fantastic Refrigerator. I would not recommend it.	2014-06-05	negative
DE	b9OZNFmDx93NIL	SothBO8U9KrlG0AU	29rJyWHRR0	2245604334	Toaster Model vodQe	Air Conditioner	4	96	93	Y	Y	Excellent Refrigerator	This is a fantastic Microwave. I would recommend it.	2020-02-15	neutral
